Number of Threads: 1
[ITP_1d]: energy_diff = -4.1495862301843545e-10
[ITP_1d]: energy_diff = -3.834117467960141e-10
[ITP_1d]: energy_diff = -3.542622861729683e-10
[ITP_1d]: energy_diff = -3.2733016297470385e-10
[ITP_1d]: energy_diff = -3.0244551307845313e-10
[ITP_1d]: energy_diff = -2.794526832161637e-10
[ITP_1d]: energy_diff = -2.5820845461765884e-10
[ITP_1d]: energy_diff = -2.3857893438616884e-10
[ITP_1d]: energy_diff = -2.2044455150194153e-10
[ITP_1d]: energy_diff = -2.0368606801213218e-10
[ITP_1d]: energy_diff = -1.8820178748768512e-10
[ITP_1d]: energy_diff = -1.7389456541394566e-10
[ITP_1d]: energy_diff = -1.6067769337269056e-10
[ITP_1d]: energy_diff = -1.484635747672769e-10
[ITP_1d]: energy_diff = -1.3717760261044987e-10
[ITP_1d]: energy_diff = -1.2675116511928763e-10
[ITP_1d]: energy_diff = -1.1711609460007821e-10
[ITP_1d]: energy_diff = -1.0821310514330662e-10
[ITP_1d]: energy_diff = -9.998923911069824e-11
mid_Et = -0.002430408231037894, tau = 100
[TDSE_1d]: tdse process starts. 1d with laser in dipole approximation.
[FD_1d]:step 200, energy = -0.6697806643782316, norm = 1.0000000000000058 + 0.0im
[FD_1d]:step 400, energy = -0.6697806643782345, norm = 1.0000000000000102 + 0.0im
[FD_1d]:step 600, energy = -0.6697806643782401, norm = 1.000000000000017 + 0.0im
[FD_1d]:step 800, energy = -0.6697806643782418, norm = 1.0000000000000213 + 0.0im
[FD_1d]:step 1000, energy = -0.6697806643782456, norm = 1.0000000000000266 + 0.0im
[FD_1d]:step 1200, energy = -0.6697806643782483, norm = 1.0000000000000309 + 0.0im
[FD_1d]:step 1400, energy = -0.6697806643782502, norm = 1.0000000000000338 + 0.0im
[FD_1d]:step 1600, energy = -0.6697806643782549, norm = 1.000000000000039 + 0.0im
[FD_1d]:step 1800, energy = -0.6697806643782558, norm = 1.000000000000043 + 0.0im
[FD_1d]:step 2000, energy = -0.6697806643782606, norm = 1.0000000000000488 + 0.0im
[FD_1d]:step 2200, energy = -0.6697806643782648, norm = 1.0000000000000548 + 0.0im
[FD_1d]:step 2400, energy = -0.6697806643782667, norm = 1.0000000000000582 + 0.0im
[FD_1d]:step 2600, energy = -0.6697806643782694, norm = 1.0000000000000622 + 0.0im
[FD_1d]:step 2800, energy = -0.6697806643782722, norm = 1.0000000000000657 + 0.0im
[FD_1d]:step 3000, energy = -0.6697806643782727, norm = 1.000000000000067 + 0.0im
[FD_1d]:step 3200, energy = -0.6697806643782758, norm = 1.0000000000000724 + 0.0im
[FD_1d]:step 3400, energy = -0.6697806643782791, norm = 1.0000000000000766 + 0.0im
[FD_1d]:step 3600, energy = -0.6697806643782822, norm = 1.0000000000000813 + 0.0im
[FD_1d]:step 3800, energy = -0.6697806643782849, norm = 1.0000000000000857 + 0.0im
